"","pr","X0"
"1385",3290,0
"1386",3292,0
"1387",3294,0
"1388",3295,0
"1389",3296,0
"1390",3297,0
"1391",3298,0
"1392",3301,0
"1393",3302,0
"1394",3304,0
"1395",3306,0
"1396",3307,0
"1397",3309,0
"1398",3310,0
"1399",3311,0
"1400",3313,0
"1401",3314,0
"1402",3316,0
"1403",3319,0
"1404",3321,0
"1405",3326,0
"1406",3335,0
"1407",3339,0
"1408",3341,0
"1409",3342,0
"1410",3344,0
"1411",3345,0
"1412",3346,0
"1413",3347,0
"1414",3352,0
"1415",3354,0
"1416",3356,0
"1417",3357,0
"1418",3358,0
"1419",3359,0
"1420",3363,0
"1421",3367,0
"1422",3369,0
"1423",3371,0
"1424",3372,0
"1425",3373,0
"1426",3374,0
"1427",3375,0
"1428",3376,0
"1429",3377,0
"1430",3379,0
"1431",3380,0
"1432",3381,0
"1433",3382,0
"1434",3383,0
"1435",3384,0
"1436",3385,0
"1437",3389,0
"1438",3391,0
"1439",3392,0
"1440",3396,0
"1441",3397,0
"1442",3406,0
"1443",3408,0
"1444",3410,0
"1445",3411,0
"1446",3414,0
"1447",3417,0
"1448",3419,0
"1449",3423,0
"1450",3426,0
"1451",3429,0
"1452",3431,0
"1453",3432,0
"1454",3434,0
"1455",3435,0
"1456",3436,0
"1457",3437,0
"1458",3440,0
"1459",3446,0
"1460",3452,0
"1461",3453,0
"1462",3461,0
"1463",3462,0
"1464",3463,0
"1465",3464,0
"1466",3471,0
"1467",3472,0
"1468",3476,0
"1469",3480,0
"1470",3483,0
"1471",3485,0
"1472",3488,0
"1473",3489,0
"1474",3490,0
"1475",3491,0
"1476",3492,0
"1477",3493,0
"1478",3498,0
"1479",3500,0
"1480",3501,0
"1481",3505,0
"1482",3510,0
"1483",3522,0
"1484",3525,0
"1485",3526,0
"1486",3527,0
"1487",3531,0
"1488",3532,0
"1489",3534,0
"1490",3535,0
"1491",3537,0
"1492",3538,0
"1493",3545,0
"1494",3561,0
"1495",3562,0
"1496",3566,0
"1497",3572,0
"1498",3573,0
"1499",3576,0
"1500",3582,0
"1501",3584,0
"1502",3586,0
"1503",3587,0
"1504",3589,0
"1505",3590,0
"1506",3592,0
"1507",3593,0
"1508",3594,0
"1509",3595,0
"1510",3596,0
"1511",3598,0
"1512",3599,0
"1513",3605,0
"1514",3607,0
"1515",3608,0
"1516",3609,0
"1517",3611,0
"1518",3613,0
"1519",3614,0
"1520",3615,0
"1521",3616,0
"1522",3618,0
"1523",3619,0
"1524",3622,0
"1525",3625,0
"1526",3626,0
"1527",3628,0
"1528",3629,0
"1529",3634,0
"1530",3639,0
"1531",3640,0
"1532",3641,0
"1533",3643,0
"1534",3644,0
"1535",3645,0
